2025-09-04 13:19:32 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 5552b4c6-54e1-417b-8ddb-b488f5c2172b, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-09-04 13:19:32 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 5552b4c6-54e1-417b-8ddb-b488f5c2172b, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:19:32 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 4079ebbe-6dc0-4900-b67c-3ef1bfc2f88a, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 4 ms
2025-09-04 13:19:33 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 35a48354-9de6-48e0-94d7-ec6820db9991, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 4 ms
2025-09-04 13:19:34 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 515beed7-b963-4e0b-816f-4539442c33a8, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 5 ms
2025-09-04 13:19:36 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - ACCESS_LOG - RequestId: bf6d8a81-0776-472b-8784-4742bf7c2684, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 5 ms
2025-09-04 13:19:47 INFO  [http-nio-8080-exec-5] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 1dbf131e-7ef4-4843-8010-096f5b75b1d8, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 5 ms
2025-09-04 13:19:47 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 7067c1a0-5519-4369-903f-9c084161a9ee, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-09-04 13:19:47 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 7067c1a0-5519-4369-903f-9c084161a9ee, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:19:47 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - ACCESS_LOG - RequestId: f97c2e4b-8254-45f8-a809-2401fa403caf, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 6 ms
2025-09-04 13:19:48 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 5567c3f5-42df-4b2d-ba2d-c0efa252f65e, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-09-04 13:19:48 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 5567c3f5-42df-4b2d-ba2d-c0efa252f65e, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:19:48 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 521cbd2d-375f-4bd3-a227-c4b1fa2a4555, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 6 ms
2025-09-04 13:20:25 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 08be96f6-ed2c-4bc4-a515-3b293643847b, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-09-04 13:20:25 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 08be96f6-ed2c-4bc4-a515-3b293643847b, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:20:25 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - ACCESS_LOG - RequestId: a2104296-04ba-43cc-8b82-e51e06ccc9d6, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 5 ms
2025-09-04 13:28:21 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - ACCESS_LOG - RequestId: adda852d-23c3-4a41-8e8c-ee4bd803d720, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 15 ms
2025-09-04 13:28:21 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 04520c73-0765-4096-8df3-e79e63b3eb76, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-09-04 13:28:21 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 04520c73-0765-4096-8df3-e79e63b3eb76, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:28:21 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 86cd2cd6-ebf1-4d1b-a8d4-ed8ce96149c6, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 7 ms
2025-09-04 13:28:22 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 7de13eed-8ee1-49e8-b57a-c73b9203f9b5, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 5 ms
2025-09-04 13:28:24 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 5cd3c991-53cc-4706-ab9a-a3dc94e8f925, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 5 ms
2025-09-04 13:28:25 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 87e5872e-8956-442c-882d-cf1117967ab5, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:28:25 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 87e5872e-8956-442c-882d-cf1117967ab5, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:28:25 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - ACCESS_LOG - RequestId: bae7071a-c0ef-4964-9456-e3053634fb38, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 5 ms
