2025-07-03 15:22:01 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - [getCustomerList] FETCH_ALL_CUSTOMERS - RequestId: 0eef206f-42c9-4e0c-ab3b-9230fb4c119d, CurrentUserId: 8cc84042-afb7-43f3-9432-5a8d64c03fe4
2025-07-03 15:22:02 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - [getCustomerList] CUSTOMER_LIST_RETRIEVED - RequestId: 0eef206f-42c9-4e0c-ab3b-9230fb4c119d, CurrentUserId: 8cc84042-afb7-43f3-9432-5a8d64c03fe4, TotalCustomers: 9, CurrentPage: 1, TotalPages: 1
2025-07-03 15:22:02 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - ACCESS_LOG - RequestId: d48fe5bb-b119-414c-aa6d-a8ca41999868, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/list?page=0&size=10&keyword=***HIDDEN***, Status: 200, Duration: 1276 ms
2025-07-03 15:24:53 INFO  [http-nio-8080-exec-9] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 115e0b5b-3c71-41ea-b4a5-c3e24d43704f, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 464 ms
2025-07-03 15:24:53 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - [getCustomerList] GET_CUSTOMER_LIST_START - RequestId: a08d7913-9b96-4ab2-a40c-c181d345ad1d, CurrentUserId: 8cc84042-afb7-43f3-9432-5a8d64c03fe4, IsAdmin: true, Page: 0, Size: 10, Keyword: 
2025-07-03 15:24:53 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - [getCustomerList] FETCH_ALL_CUSTOMERS - RequestId: a08d7913-9b96-4ab2-a40c-c181d345ad1d, CurrentUserId: 8cc84042-afb7-43f3-9432-5a8d64c03fe4
2025-07-03 15:24:53 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - [getCustomerList] CUSTOMER_LIST_RETRIEVED - RequestId: a08d7913-9b96-4ab2-a40c-c181d345ad1d, CurrentUserId: 8cc84042-afb7-43f3-9432-5a8d64c03fe4, TotalCustomers: 9, CurrentPage: 1, TotalPages: 1
2025-07-03 15:24:53 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 81203c5d-49a8-4390-aaad-d84b8785058e, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/list?page=0&size=10&keyword=***HIDDEN***, Status: 200, Duration: 280 ms
2025-07-03 15:27:20 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: d14145f2-e625-4e93-a2cf-85b63da8a89d, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 1538 ms
2025-07-03 15:27:20 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 9d313f47-1f13-4330-aa22-22c17ec064c0, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 1538 ms
2025-07-03 15:52:52 INFO  [http-nio-8080-exec-5] ACCESS_LOG [,] - ACCESS_LOG - RequestId: b46174b7-25bf-4031-9c87-4cfceaba3c90, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 569 ms
2025-07-03 18:37:39 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 70d72054-a7f8-411d-9c22-838fb3a847b5, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-07-03 18:37:40 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 70d72054-a7f8-411d-9c22-838fb3a847b5, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-07-03 18:37:40 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 734be2e8-d954-402a-a222-235d455f1373, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 1359 ms
2025-07-03 18:38:21 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 1047a1fe-1c97-409e-9b97-aae05add0ebe, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-07-03 18:38:21 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 1047a1fe-1c97-409e-9b97-aae05add0ebe, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-07-03 18:38:21 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: c4eb0bb8-d4b2-4a1d-8654-84f931c2baca, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 231 ms
2025-07-03 18:38:51 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: ad46a26e-9999-4d12-a082-9ddccfa4a1e7, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-07-03 18:38:51 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: ad46a26e-9999-4d12-a082-9ddccfa4a1e7, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-07-03 18:38:51 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 3829dd47-879f-41dc-a6fe-d4998fa92357, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 36 ms
2025-07-03 18:40:34 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: c40033d2-550b-4318-a12f-755220960073, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-07-03 18:40:34 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: c40033d2-550b-4318-a12f-755220960073, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-07-03 18:40:34 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 525246bf-c96a-450b-9496-dc760a050d94, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 826 ms
2025-07-03 18:48:39 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 352d517b-ae16-428c-a652-9a004c115a05, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 646 ms
2025-07-03 18:48:39 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 8202b2e0-9647-460f-8b8a-39126156ee0a, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 17 ms
2025-07-03 18:55:53 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: e52b5518-e3b6-4a03-b053-3f12134cda98, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-07-03 18:55:53 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: e52b5518-e3b6-4a03-b053-3f12134cda98, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-07-03 18:55:56 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 68de42de-197d-4c9f-ab02-47f696eccac7, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 2450 ms
2025-07-03 23:03:44 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 67480753-446e-4459-aac7-756e6a535dec, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 1071 ms
2025-07-03 23:03:44 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 7d6f7a55-40e7-48c4-a455-183b3475d20d, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 16 ms
2025-07-03 23:03:56 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 45f9fcb0-f054-4e93-b66a-a4b328c0c1be, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-07-03 23:03:56 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 45f9fcb0-f054-4e93-b66a-a4b328c0c1be, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-07-03 23:03:56 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 8126d0f8-469f-49b5-97e7-991707a4c7cf, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 158 ms
2025-07-03 23:07:21 INFO  [http-nio-8080-exec-5] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 00997014-9a88-457a-93d6-156de99656be, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-07-03 23:07:21 INFO  [http-nio-8080-exec-5] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 00997014-9a88-457a-93d6-156de99656be, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-07-03 23:07:21 INFO  [http-nio-8080-exec-5] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 85f67d99-b64a-41c8-a2b7-1184486bf142, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 706 ms
2025-07-03 23:07:51 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 2088ffd5-3635-4dd3-9717-4a1c0b9cd6a8, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 89 ms
2025-07-03 23:07:51 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 623d1365-b60b-4165-aac6-e872af8f46ab, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 18 ms
2025-07-03 23:08:03 INFO  [http-nio-8080-exec-9] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 593865ad-d385-416f-bff6-a0f796c69d0a, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 23 ms
2025-07-03 23:08:03 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - ACCESS_LOG - RequestId: ff38abf3-7206-44c7-830f-f7d4b3d838c2, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 49 ms
2025-07-03 23:08:42 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 03d0158a-ca9c-43bb-b30c-56a960b7805a, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 15 ms
2025-07-03 23:08:43 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: dc1d300e-5153-43c8-be8d-484a9fdf0017, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 47 ms
2025-07-03 23:08:44 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerList] GET_CUSTOMER_LIST_START - RequestId: ad227f68-a8fd-4d94-9e7e-7b3c3b55788e, CurrentUserId: 8cc84042-afb7-43f3-9432-5a8d64c03fe4, IsAdmin: true, Page: 0, Size: 10, Keyword: 
2025-07-03 23:08:44 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerList] FETCH_ALL_CUSTOMERS - RequestId: ad227f68-a8fd-4d94-9e7e-7b3c3b55788e, CurrentUserId: 8cc84042-afb7-43f3-9432-5a8d64c03fe4
2025-07-03 23:08:45 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - [getCustomerList] CUSTOMER_LIST_RETRIEVED - RequestId: ad227f68-a8fd-4d94-9e7e-7b3c3b55788e, CurrentUserId: 8cc84042-afb7-43f3-9432-5a8d64c03fe4, TotalCustomers: 9, CurrentPage: 1, TotalPages: 1
2025-07-03 23:08:45 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 3c3b867c-6f17-4e08-9bf8-823d00f5305d, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/list?page=0&size=10&keyword=***HIDDEN***, Status: 200, Duration: 1408 ms
2025-07-03 23:11:58 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: ef81069b-d110-46ae-bf48-e8461af73d0e, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-07-03 23:11:58 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: ef81069b-d110-46ae-bf48-e8461af73d0e, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-07-03 23:11:58 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 46d4f7a1-3c73-4d14-b3df-967e5d8be4f7, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 174 ms
2025-07-03 23:25:26 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 85169175-67ae-4568-88a0-be1beca80e23, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-07-03 23:25:26 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 85169175-67ae-4568-88a0-be1beca80e23, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-07-03 23:25:26 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - ACCESS_LOG - RequestId: ab4b1e2c-55c3-4002-9397-dd2c6468b330, IP: 0:0:0:0:0:0:0:1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 198 ms
